Pathnames	signed_enrichment	minusLog10Pval
75	response to toxic substance	1.42050077811614	1.27478093963169
76	positive regulation of programmed cell death	1.41583048196619	1.63458358954431
77	sex differentiation	1.41489586418229	1.19696867629268
78	telomere maintenance	1.4137851314424	1.10391077754764
79	proteolysis involved in cellular protein catabolic process	1.41108978630569	1.57794910749154
80	cellular nitrogen compound catabolic process	1.40347945104079	1.42728299104925
81	telomere organization	1.39990323169657	1.07047412377492
82	neuron apoptotic process	1.39927996089705	1.15105989003805
83	organic cyclic compound catabolic process	1.397437953347	1.47968404073129
84	positive regulation of apoptotic process	1.39674065573859	1.63458358954431
85	reproductive structure development	1.39372348967484	1.27478093963169
86	positive regulation of cell death	1.39122078415969	1.63458358954431
87	positive regulation of DNA metabolic process	1.38960340009114	1.12182451932021
88	heterocycle catabolic process	1.38897339558755	1.32166034782407
89	response to lipid	1.38778639114851	1.57794910749154
90	regulation of endopeptidase activity	1.38400349360744	1.08281950846373
91	regulation of cysteine-type endopeptidase activity involved in apoptotic process	1.3749913471854	0.999151678998682
92	organic hydroxy compound metabolic process	1.37434247734936	1.05216977568469
93	negative regulation of phosphorus metabolic process	1.37369331668278	1.42728299104925
94	negative regulation of phosphate metabolic process	1.37369331668278	1.42728299104925
95	leukocyte mediated immunity	1.37353175921019	1.01305207996102
96	small molecule biosynthetic process	1.37031878570494	1.42728299104925
97	negative regulation of kinase activity	1.36843225443335	1.06912370837566
98	reproductive system development	1.36672449144106	1.12484665692978
99	protein localization to nucleus	1.36594492896933	1.16274392017848
100	positive regulation of peptide secretion	1.36438569857469	1.01305207996102
101	DNA biosynthetic process	1.35966968400616	0.999151678998682
102	mitochondrion organization	1.35958177750507	1.33135861372874
103	aromatic compound catabolic process	1.35748515327719	1.20351334059798
104	negative regulation of catabolic process	1.35677986174749	1.0818349688526
105	positive regulation of protein secretion	1.35123407020652	0.934242403128407
106	establishment of protein localization to organelle	1.34382403665347	1.23970887549134
107	ribonucleoprotein complex subunit organization	1.34189381488664	0.999151678998682
108	circadian rhythm	1.34010441235695	0.918073933601808
109	ribonucleoprotein complex assembly	1.33924752656429	0.970493055615525
110	regulation of intracellular transport	1.33860058025907	1.15228415222694
111	alpha-amino acid metabolic process	1.33762364173626	0.984727978071166
112	negative regulation of MAPK cascade	1.3314488054325	0.916652301463654
113	carboxylic acid biosynthetic process	1.32911173773379	0.928036690900083
114	positive regulation of DNA-binding transcription factor activity	1.32892675517388	0.897790685830588
115	macroautophagy	1.32763799809044	0.898618338101937
116	nucleobase-containing compound transport	1.3267107926372	0.898618338101937
117	protein import	1.32433692753281	0.934242403128407
118	organic acid biosynthetic process	1.32213698837752	0.897790685830588
119	autophagy	1.31979695388163	1.10758228370464
120	process utilizing autophagic mechanism	1.31979695388163	1.10758228370464
121	nucleobase-containing compound catabolic process	1.31746663992401	1.10578330781699
122	response to starvation	1.31708419313664	0.870540545088705
123	protein import into nucleus	1.31505052680747	0.873799364392938
124	negative regulation of protein kinase activity	1.31353229025686	0.826546852828946
125	reactive oxygen species metabolic process	1.31273545210777	0.867472388762798
126	activation of immune response	1.31255311662972	0.867472388762798
127	lipid biosynthetic process	1.30991906703729	1.0347542056831
128	regulation of intracellular protein transport	1.30983417185112	0.872956927223965
129	regulation of cytokine production	1.308868706449	1.0818349688526
130	response to radiation	1.3067674669873	1.03841233834022
131	regulation of cellular response to stress	1.30670669956955	1.34447620247356
132	import into nucleus	1.30642260127115	0.859665383942389
133	negative regulation of hydrolase activity	1.30516654546003	0.873799364392938
134	negative regulation of cellular catabolic process	1.29967381079935	0.873799364392938
135	response to organic cyclic compound	1.29932559922306	1.1312018121095
136	regulation of DNA-binding transcription factor activity	1.29878404475655	0.989261948454707
137	regulation of DNA metabolic process	1.29642332036625	1.06647888337058
138	regulation of peptidase activity	1.29390902286587	0.831254437822753
139	ncRNA metabolic process	1.29060451011786	1.07047412377492
140	RNA catabolic process	1.29039616643547	0.824449040543524
141	cytokine production	1.28945366369057	1.04868642851664
142	cell growth	1.28765786056962	1.0818349688526
143	regulation of cellular protein localization	1.2872880369579	1.18242827353832
144	regulation of peptide transport	1.28576643524996	1.19262067828425
145	positive regulation of protein transport	1.28468548699613	0.951109211277404
146	cellular response to lipid	1.28457928859178	0.929509848507107
147	developmental process involved in reproduction	1.28250560799428	1.03257421964291
148	regulation of protein transport	1.27984356264367	1.12182451932021
149	carboxylic acid metabolic process	1.2689889887666	1.10677376037328
150	negative regulation of intracellular signal transduction	1.21582893687542	0.824449040543524
